,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Be,9.012182,0.032,1.05,3.8e-08,4.85,190.0,130.0,287.0,2,False,False,False,False,False,False,True,False,False,False,1.53,13000.0,,0.026,0.59,0.0,{2: 0.59},2742.0,1670.0,0.59,1560.0,132.0,4,4,1848.0,1.13e-05
Ca,40.078,0.31,1.8,3.4e-08,26.2,200.0,17.0,20.0,2,False,False,False,False,False,False,True,False,False,False,2.31,3810.0,,,1.14,0.0,{2: 1.14},1757.0,,1.14,1115.0,7.4,20,20,1550.0,2.23e-05
Cd,112.411,0.3,1.55,7e-08,13.0,97.0,42.0,50.0,12,False,True,False,False,False,False,False,False,False,False,1.58,2310.0,,0.517,1.09,0.0,{2: 1.09},1040.0,,1.09,594.22,19.0,48,48,8650.0,3.08e-05
Co,58.933195,0.31,1.35,6e-08,6.67,100.0,180.0,209.0,9,False,True,False,False,False,False,False,False,False,False,,4720.0,,,0.7683333333333334,0.0,"{2: 0.885, 3: 0.75, 4: 0.67}",3200.0,1043.0,0.7683333333333334,1768.0,75.0,27,27,8900.0,1.3e-05
Dy,162.5,0.25,1.75,9.26e-07,19.01,11.0,41.0,61.0,12,False,False,False,True,False,False,False,False,True,False,,2710.0,,,1.131,0.0,"{2: 1.21, 3: 1.052}",2840.0,540.0,1.131,1680.0,25.0,66,66,8551.0,9.9e-06
Er,167.259,0.24,1.75,8.6e-07,18.46,15.0,44.0,70.0,14,False,False,False,True,False,False,False,False,True,False,,2830.0,,,1.03,0.0,{3: 1.03},3141.0,589.0,1.03,1802.0,28.0,68,68,9066.0,1.22e-05
Gd,157.25,0.26,1.8,1.31e-06,19.9,11.0,38.0,55.0,10,False,False,False,True,False,False,False,False,True,False,,2680.0,,1.083,1.075,0.0,{3: 1.075},3523.0,570.0,1.075,1585.0,22.0,64,64,7901.0,9.4e-06
Hf,178.49,0.37,1.55,3.4e-07,13.44,23.0,110.0,78.0,4,False,True,False,False,False,False,False,False,False,False,,3010.0,,0.128,0.85,0.0,{4: 0.85},4876.0,1760.0,0.85,2506.0,30.0,72,72,13310.0,5.9e-06
Ho,164.93032,0.23,1.75,8.14e-07,18.74,16.0,40.0,65.0,13,False,False,False,True,False,False,False,False,True,False,,2760.0,,,1.041,0.0,{3: 1.041},2993.0,481.0,1.041,1734.0,26.0,67,67,8795.0,1.12e-05
Lu,174.967,0.26,1.75,5.8e-07,17.78,16.0,48.0,69.0,17,False,False,False,True,False,False,False,False,True,False,,,,0.022,1.001,0.0,{3: 1.001},3675.0,1160.0,1.001,1925.0,27.0,71,71,9841.0,9.9e-06
Mg,24.305,0.29,1.5,4.4e-08,14.0,160.0,45.0,45.0,2,False,False,False,False,False,False,True,False,False,False,1.73,4602.0,,,0.86,0.0,{2: 0.86},1363.0,,0.86,923.0,17.0,12,12,1738.0,8.2e-06
Os,190.23,0.25,1.3,8.1e-08,8.42,88.0,,,8,False,True,False,False,False,False,False,False,False,False,,4940.0,,0.66,0.673,0.0,"{4: 0.77, 5: 0.715, 6: 0.685, 7: 0.665, 8: 0.53}",5285.0,,0.673,3306.0,222.0,76,76,22610.0,5.1e-06
Re,186.207,0.3,1.35,1.8e-07,8.86,48.0,370.0,463.0,7,False,True,False,False,False,False,False,False,False,False,,4700.0,,1.7,0.7124999999999999,0.0,"{4: 0.77, 5: 0.72, 6: 0.69, 7: 0.67}",5869.0,2450.0,0.7124999999999999,3459.0,178.0,75,75,21020.0,6.2e-06
Ru,101.07,0.3,1.3,7.1e-08,8.17,120.0,220.0,447.0,8,False,True,False,False,False,False,False,False,False,False,,5970.0,,0.49,0.661,0.0,"{3: 0.82, 4: 0.76, 5: 0.705, 7: 0.52, 8: 0.5}",4423.0,,0.661,2607.0,173.0,44,44,12370.0,6.4e-06
Sc,44.955912,0.28,1.6,5.5e-07,15.0,16.0,57.0,74.0,3,False,True,False,False,False,False,False,False,False,False,2.11,,,0.05,0.885,0.0,{3: 0.885},3103.0,,0.885,1814.0,29.0,21,21,2985.0,1.02e-05
Tb,158.92535,0.26,1.75,1.15e-06,19.3,11.0,38.7,56.0,11,False,False,False,True,False,False,False,False,True,False,,2620.0,,,0.9815,0.0,"{3: 1.063, 4: 0.9}",3503.0,863.0,0.9815,1629.0,22.0,65,65,8219.0,1.03e-05
Tc,98.0,,1.35,2.2e-07,8.63,51.0,,,7,False,True,False,False,False,False,False,False,False,False,,,,7.8,0.7416666666666666,0.0,"{4: 0.785, 5: 0.74, 7: 0.7}",4538.0,,0.7416666666666666,2430.0,,43,43,11500.0,
Ti,47.867,0.32,1.4,4e-07,10.64,22.0,110.0,116.0,4,False,True,False,False,False,False,False,False,False,False,,4140.0,,0.4,0.8516666666666667,0.0,"{2: 1.0, 3: 0.81, 4: 0.745}",3560.0,970.0,0.8516666666666667,1941.0,44.0,22,22,4507.0,8.6e-06
Tl,204.3833,0.45,1.9,1.5e-07,17.22,46.0,43.0,8.0,13,False,False,True,False,False,False,False,False,False,False,1.96,818.0,,2.38,1.3325,0.0,"{1: 1.64, 3: 1.025}",1746.0,,1.3325,577.0,2.8,81,81,11850.0,2.99e-05
Tm,168.93421,0.21,1.75,6.76e-07,19.1,17.0,45.0,74.0,15,False,False,False,True,False,False,False,False,True,False,,,,,1.095,0.0,"{2: 1.17, 3: 1.02}",2223.0,520.0,1.095,1818.0,31.0,69,69,9321.0,1.33e-05
Y,88.90585,0.24,1.8,6e-07,19.88,17.0,41.0,64.0,3,False,True,False,False,False,False,False,False,False,False,,3300.0,,1.3,1.04,0.0,{3: 1.04},3609.0,,1.04,1799.0,26.0,39,39,4472.0,1.06e-05
Zn,65.409,0.25,1.35,6e-08,9.16,120.0,70.0,108.0,12,False,True,False,False,False,False,False,False,False,False,1.39,3700.0,,0.85,0.88,0.0,{2: 0.88},1180.0,,0.88,692.68,43.0,30,30,7140.0,3.02e-05
Zr,91.224,0.34,1.55,4.33e-07,14.02,23.0,,68.0,4,False,True,False,False,False,False,False,False,False,False,,3800.0,,0.61,0.86,0.0,{4: 0.86},4682.0,903.0,0.86,2128.0,33.0,40,40,6511.0,5.7e-06
